City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Buala,-8.145,159.5921,77.68,89,100,4.99,SB,1612435814
Yellowknife,62.456,-114.3525,-23.01,76,90,10.36,CA,1612435742
Kondinskoye,59.6481,67.41,9.34,95,100,5.7,RU,1612435814
Lázaro Cárdenas,17.9583,-102.2,72.27,85,53,3.83,MX,1612435814
Kapaa,22.0752,-159.319,64.0,77,90,5.75,US,1612435814
‘Ewa Beach,21.3156,-158.0072,68.0,68,1,6.91,US,1612435815
Nanpiao,41.0982,120.7479,32.16,69,0,8.63,CN,1612435815
Mar del Plata,-38.0023,-57.5575,68.0,94,0,4.61,AR,1612435815
Rikitea,-23.1203,-134.9692,76.93,73,35,11.92,PF,1612435815
Celestún,20.8667,-90.4,61.09,83,0,11.5,MX,1612435815
Longyearbyen,78.2186,15.6401,23.0,68,75,23.02,SJ,1612435680
West Wendover,40.7391,-114.0733,32.0,59,1,21.85,US,1612435561
Fort Nelson,58.8053,-122.7002,-14.8,70,90,6.91,CA,1612435816
Balgazyn,51.0,95.2,16.86,91,100,1.7,RU,1612435816
Nikolskoye,59.7035,30.7861,16.0,79,75,13.42,RU,1612435816
Mataura,-46.1927,168.8643,46.0,79,0,4.63,NZ,1612435816
Airai,-8.9266,125.4092,60.15,100,100,4.94,TL,1612435816
Touros,-5.1989,-35.4608,77.0,83,20,3.44,BR,1612435816
George Town,5.4112,100.3354,89.6,45,20,14.97,MY,1612435801
Laas,46.6166,10.7002,48.99,64,0,8.05,IT,1612435816
Thompson,55.7435,-97.8558,-7.6,77,90,10.36,CA,1612435817
Saskylakh,71.9167,114.0833,-40.79,75,22,4.97,RU,1612435817
Hermanus,-34.4187,19.2345,73.99,78,74,5.01,ZA,1612435817
Atuona,-9.8,-139.0333,77.58,73,0,9.64,PF,1612435817
Talara,-4.5772,-81.2719,74.14,71,46,13.49,PE,1612435817
Cape Town,-33.9258,18.4232,77.0,53,20,17.27,ZA,1612435817
Provideniya,64.3833,-173.3,-11.24,83,19,20.33,RU,1612435817
New Norfolk,-42.7826,147.0587,69.8,73,0,9.22,AU,1612435817
Gizo Government Station,-8.103,156.8419,80.4,81,100,8.99,SB,1612435817
Albany,42.6001,-73.9662,24.8,80,90,6.91,US,1612435817
Alofi,-19.0595,-169.9187,77.0,94,100,4.61,NU,1612435818
Pandan,14.0453,124.1694,77.79,85,79,17.74,PH,1612435818
Tuatapere,-46.1333,167.6833,49.12,76,36,4.9,NZ,1612435808
Shingū,33.7333,135.9833,48.2,49,40,18.41,JP,1612435818
Pisco,-13.7,-76.2167,69.8,88,0,3.44,PE,1612435818
Ushuaia,-54.8,-68.3,60.8,63,75,17.27,AR,1612435661
Nanortalik,60.1432,-45.2371,16.86,79,100,10.92,GL,1612435818
Bria,6.5423,21.9863,106.0,12,65,3.85,CF,1612435819
East London,-33.0153,27.9116,77.0,78,75,8.05,ZA,1612435819
Ust'-Ilimsk,58.0006,102.6619,3.15,93,100,2.86,RU,1612435819
Butaritari,3.0707,172.7902,81.32,84,100,15.03,KI,1612435819
Collie,-33.3667,116.15,64.99,44,0,4.0,AU,1612435819
Charleston,32.7766,-79.9309,30.2,86,1,4.56,US,1612435607
Abu Dhabi,24.4667,54.3667,78.8,50,0,6.91,AE,1612435819
Arraial do Cabo,-22.9661,-42.0278,77.0,78,0,16.11,BR,1612435819
Busselton,-33.65,115.3333,64.99,53,0,1.01,AU,1612435819
Vanimo,-2.6741,141.3028,79.21,82,97,6.64,PG,1612435820
Pimentel,-6.8367,-79.9342,69.24,84,96,8.12,PE,1612435820
Tselinnoye,53.0833,85.6667,21.81,97,100,6.76,RU,1612435820
Hobart,-42.8794,147.3294,69.8,73,0,9.22,AU,1612435820
Hong Kong,22.2855,114.1577,69.01,72,0,13.96,HK,1612435714
Vaini,-21.2,-175.2,80.6,94,75,8.05,TO,1612435820
Jamestown,42.097,-79.2353,19.99,93,75,11.5,US,1612435554
Henties Bay,-22.116,14.2845,69.01,82,100,3.0,NA,1612435821
Porto Torres,40.835,8.3972,66.2,52,0,6.91,IT,1612435821
Avarua,-21.2078,-159.775,78.8,83,40,3.44,CK,1612435821
Ternate,0.8,127.4,81.77,77,100,5.39,ID,1612435821
Avera,33.194,-82.5271,26.6,87,1,3.44,US,1612435821
Saint-Philippe,-21.3585,55.7679,87.8,58,0,23.02,RE,1612435821
Dikson,73.5069,80.5464,-9.18,92,100,12.1,RU,1612435821
Ilulissat,69.2167,-51.1,-4.0,38,0,6.91,GL,1612435821
Mount Gambier,-37.8333,140.7667,62.6,94,90,9.22,AU,1612435576
Barrow,71.2906,-156.7887,-27.4,68,1,13.8,US,1612435822
Trenggalek,-8.05,111.7167,78.75,84,87,1.12,ID,1612435822
Khatanga,71.9667,102.5,-30.21,80,0,14.47,RU,1612435822
Punta Arenas,-53.15,-70.9167,60.8,67,90,25.32,CL,1612435822
Xinqing,48.2333,129.5,-13.45,87,2,7.76,CN,1612435822
Resistencia,-27.4606,-58.9839,72.0,94,0,4.61,AR,1612435822
Zeya,53.75,127.2667,-22.65,83,31,2.15,RU,1612435822
Sivac,45.7033,19.3822,59.0,67,0,11.5,RS,1612435822
Kiryat Gat,31.61,34.7642,71.6,46,0,6.91,IL,1612435823
Esperance,-33.8667,121.9,60.8,59,90,18.41,AU,1612435823
Mnogovershinnyy,53.9353,139.9242,-19.14,85,100,10.89,RU,1612435823
Souillac,-20.5167,57.5167,86.0,66,40,11.5,MU,1612435823
São Filipe,14.8961,-24.4956,72.77,77,98,8.48,CV,1612435823
Boyolangu,-8.1181,111.8935,78.82,84,80,1.95,ID,1612435823
Bathsheba,13.2167,-59.5167,78.8,65,75,19.57,BB,1612435823
Port Alfred,-33.5906,26.891,73.99,85,92,1.01,ZA,1612435629
Waddān,29.1614,16.139,64.85,38,0,2.28,LY,1612435824
Hasaki,35.7333,140.8333,44.6,45,20,3.44,JP,1612435824
Bredasdorp,-34.5322,20.0403,77.0,57,73,9.22,ZA,1612435824
Bethel,41.3712,-73.414,30.2,64,90,5.75,US,1612435824
Awjilah,29.1081,21.2869,67.6,43,0,10.96,LY,1612435824
Bluff,-46.6,168.3333,50.23,74,3,14.54,NZ,1612435824
Castro,-24.7911,-50.0119,71.69,89,100,3.96,BR,1612435824
Hithadhoo,-0.6,73.0833,83.25,73,99,10.2,MV,1612435824
Cairns,-16.9167,145.7667,82.4,78,75,5.75,AU,1612435770
Maïné Soroa,13.2114,12.0241,85.21,14,45,17.72,NE,1612435825
Latung,5.5,120.8833,82.29,76,65,6.73,PH,1612435825
Lagoa,39.05,-27.9833,53.64,67,63,32.19,PT,1612435825
Mount Isa,-20.7333,139.5,86.0,54,73,10.36,AU,1612435825
Beloha,-25.1667,45.05,105.67,21,13,3.87,MG,1612435825
Comodoro Rivadavia,-45.8667,-67.5,60.8,72,0,1.14,AR,1612435825
Sexsmith,55.35,-118.786,-5.8,84,90,4.65,CA,1612435826
Fernley,39.608,-119.2518,28.99,67,0,1.01,US,1612435826
Labuan,5.2767,115.2417,80.6,89,40,11.5,MY,1612435826
Egvekinot,66.3167,-179.1667,-29.51,82,12,18.57,RU,1612435826
Tuktoyaktuk,69.4541,-133.0374,-34.19,84,32,6.35,CA,1612435826
Ancud,-41.8697,-73.8203,59.0,82,0,10.36,CL,1612435826
